First name,Last name,Birth year,CNP,Tel number,Health insurance
Aliya,Mackenzie,1989,42472953,076098565,true
Rahma,Watkins,1990,42472954,076098565,false
Tommy-Lee,Lutz,1993,42472955,076098565,false
Jaydn,Young,1965,42472956,076098565,true
Aliyah,Rodriquez,1970,42472957,076098565,false
Princess,Webb,1989,42472958,076098565,true
Krish,Kline,1988,42472959,076098565,true
Kirsty,Chamberlain,1958,42472960,076098565,true
Eshaan,Haines,1965,42472961,076098565,true
Katharine,Schwartz,1989,42472962,076098565,true
Mattie,Hale,1990,42472963,076098565,true
Gurdeep,Cooke,1999,42472964,076098565,true
Avi,Ratliff,1995,42472965,076098565,true
Niyah,Rodrigues,1967,42472966,076098565,false
Konnor,Levine,1987,42472967,076098565,false
Milla,Kearney,1989,42472968,076098565,true
Rishi,Mohammed,1990,42472969,076098565,true
Miley,Workman,1999,42472970,076098565,true
Guy,Cottrell,1985,42472971,076098565,false
Lucille,Adam,1989,42472972,076098565,true
Marcus,Tierney,1989,42472973,076098565,true
Kate,Mcclain,1978,42472974,076098565,true
Amiyah,Boyer,1979,42472975,076098565,true
Cassandra,Fletcher,1955,42472976,076098565,true
Joss,Metcalfe,1984,42472977,076098565,false
Derry,Povey,1989,42472978,076098565,true
Jill,Carrillo,1969,42472979,076098565,true
Blade,Lozano,1969,42472980,076098565,true
Elsie-May,Webber,1969,42472981,076098565,false
Aryan,Roberts,1966,42472982,076098565,false
Connagh,Neal,1998,42472983,076098565,true
Aniya,Amos,2000,42472984,076098565,true
Hetty,Holmes,1996,42472985,076098565,true
Vivian,Phelps,1989,42472986,076098565,true
Christina,Kemp,1989,42472987,076098565,true
Neal,Marks,1969,42472988,076098565,false
Tonisha,Blackmore,1978,42472989,076098565,true
Alexa,Farmer,1977,42472990,076098565,true
Camilla,Quintana,1972,42472991,076098565,true
Lorraine,Gillespie,1945,42472992,076098565,false
Otto,O'Ryan,1979,42472993,076098565,true
Sienna,Gough,1968,42472994,076098565,true
Fahima,Rosas,1974,42472995,076098565,true
Diego,Jaramillo,1989,42472996,076098565,false
Mabel,Mckenzie,1989,42472997,076098565,true
Bertie,Kearns,1963,42472998,076098565,true
Elin,Lowe,1982,42472999,076098565,true
Salman,Nguyen,1989,42473000,076098565,false
Yousef,Ahmed,1989,42473001,076098565,true
Edward,Burks,1996,42473002,076098565,false
